,Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,stock_symbol,overall_profit,2017_value,2018_value,2019_value,2020_value,2017_profit,2018_profit,2019_profit,2020_profit
14,AB,AllianceBernstein Holding L.P.  Units,$49.98,-0.76,-1.498%,4983446124.0,United States,,200369,Finance,Investment Managers,AB,31.905158070676976,23.7304780967682,28.2566136060008,29.14456343272376,29.310634719000927,6.793063147751647,19.07309027140504,3.1424495486408306,0.5698190904815539
15,ABB,ABB Ltd Common Stock,$36.98,-0.31,-0.831%,74181880000.0,Switzerland,,1126254,Consumer Durables,Electrical Products,ABB,7.490727606253293,24.251235042435237,23.00689240565813,19.838809505341548,21.759365066649426,19.80050392449396,-5.131048520208309,-13.770146982290626,9.680800457259163
16,ABBV,AbbVie Inc. Common Stock,$114.45,-0.67,-0.582%,202253239637.0,United States,2012.0,5337367,Health Care,Major Pharmaceuticals,ABBV,40.09090510816512,75.165298735478,97.47374530807434,77.9488490119813,84.99031696622333,23.89616968676011,29.67918301117156,-20.030928568901192,9.033446989268198
17,ABC,AmerisourceBergen Corporation Common Stock,$120.64,-1.25,-1.026%,25022028899.0,United States,,1116601,Health Care,Other Pharmaceuticals,ABC,5.865094463878824,86.11613573781048,89.10326695537185,82.81238104805114,88.08984096466548,3.493124120911937,3.468724173430186,-7.0602191392955005,6.372790939982934
18,ABCB,Ameris Bancorp Common Stock,$50.16,1.0,2.034%,3499523203.0,United States,1994.0,405481,Finance,Major Banks,ABCB,6.682366177150188,46.35908371518807,49.68486053345213,38.54206351628379,35.45063497149754,39.50939802678328,7.173948559243133,-22.42694635253339,-8.020921203350023
19,ABEO,Abeona Therapeutics Inc. Common Stock,$1.29,0.01,0.781%,130582848.0,United States,,632033,Health Care,Major Pharmaceuticals,ABEO,-31.678689237520093,9.494063763029546,13.819681253091273,4.885158742704089,2.6609523864019486,143.76493321243518,45.561285430859854,-64.65071333239797,-45.52986859687946
20,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$3.22,0.05,1.577%,50673658848.0,,2013.0,19417793,Consumer Non-Durables,Beverages (Production/Distribution),ABEV,-32.72657091088325,5.948366533712562,5.437011977115951,4.5748809481424,3.59603174149044,11.280167409181685,-8.596554259030501,-15.856706452040331,-21.396167851087252
21,ABG,Asbury Automotive Group Inc Common Stock,$194.96,-0.1,-0.051%,3770794275.0,United States,2002.0,175712,Consumer Services,Other Specialty Stores,ABG,54.79914005106033,59.806175262329596,69.23984085326175,87.13845225742884,86.45587267194477,7.082887653921668,15.773731641511937,25.850162541677665,-0.7833276444566408
22,ABIO,ARCA biopharma Inc. Common Stock,$3.11,0.01,0.323%,44815545.0,United States,,161194,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,ABIO,-92.08474978600854,35.88812756633378,13.228924261146334,6.577697999893672,4.496031742247324,-36.81906052175954,-63.1384383688041,-50.27790718242654,-31.647337072635413
23,ABM,ABM Industries Incorporated Common Stock,$47.00,0.3,0.642%,3155171382.0,United States,,214255,Technology,Diversified Commercial Services,ABM,-3.8269473712211113,41.931593647991036,32.37649398590939,37.258372919900076,34.32206344604492,17.49553953993163,-22.787351566685423,15.078466915272953,-7.880938548142668
24,ABMD,ABIOMED Inc. Common Stock,$345.88,-2.98,-0.854%,15683913381.0,United States,,238119,Health Care,Medical/Dental Instruments,ABMD,57.64932368787986,147.18075722622206,340.09549862075136,248.76368985857283,165.66460309709822,40.05977380083052,131.07334479738577,-26.85475377726913,-33.40482962313275
25,ABR,Arbor Realty Trust Common Stock,$18.36,0.03,0.164%,2609992257.0,United States,2004.0,979922,Consumer Services,Real Estate Investment Trusts,ABR,71.78860593988888,8.169760937709732,10.2463745120987,12.968769841723974,12.107142857142858,15.920978129312086,25.41829057449893,26.56935217828243,-6.643860559611692
26,ABT,Abbott Laboratories Common Stock,$122.17,-0.04,-0.033%,217074117481.0,United States,,3550254,Health Care,Major Pharmaceuticals,ABT,105.78187324730794,48.54362556183956,64.2209560956613,80.53996034652468,83.33063458639478,19.87666062922548,32.29534331721977,25.410715197941254,3.4649560638758348
27,ABTX,Allegiance Bancshares Inc. Common Stock,$38.10,1.3,3.533%,770182013.0,United States,2015.0,36102,Finance,Major Banks,ABTX,37.631795055193436,37.18276900029277,40.766613599313686,34.762063420008104,33.431746104406926,53.07400417109256,9.638455379675179,-14.729087479090186,-3.826922756361665
28,AC,Associated Capital Group Inc. Common Stock,$35.91,-0.73,-1.992%,794366726.0,United States,2015.0,21310,Finance,Investment Bankers/Brokers/Service,AC,29.94823166887753,34.99721118273488,37.96685271244125,38.47309519752624,40.03349204290481,13.600524822182754,8.485366203040147,1.3333801695895986,4.055813126984668
29,ACA,Arcosa Inc. Common Stock ,$51.36,-0.06,-0.117%,2474225988.0,,2018.0,208863,Capital Goods,Engineering & Construction,ACA,,,27.445526374013802,34.50476187751407,42.19714288862925,,,25.72089675854844,22.29367945914768
30,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$19.18,-0.07,-0.364%,3072233910.0,United States,1985.0,2311635,Health Care,Major Pharmaceuticals,ACAD,41.925493775243496,32.39123507039955,20.097808750502146,30.78888890099904,41.17269839937725,11.655106662282154,-37.95294095201591,53.19525269255922,33.725833795974616
31,ACB,Aurora Cannabis Inc. Common Shares,$7.32,-0.03,-0.408%,1449211719.0,Canada,,2924006,Consumer Durables,Specialty Chemicals,ACB,89.64598733171482,2.4597848606299597,7.2899402337245265,6.254126993436662,1.4776507928257896,215.6959213791528,196.36495249659959,-14.208802913033665,-76.37318854611526
32,ACBI,Atlantic Capital Bancshares Inc. Common Stock,$25.34,0.98,4.023%,514929123.0,United States,,130395,Finance,Major Banks,ACBI,14.17247192476217,18.32350599433321,18.167430265966164,17.90101190975734,16.700714232429625,25.266497263864004,-0.8517787393707199,-1.4664614219431855,-6.705194563182577
33,ACC,American Campus Communities Inc Common Stock,$49.70,-0.06,-0.121%,6906507371.0,United States,2004.0,360065,Consumer Services,Real Estate Investment Trusts,ACC,-12.487374618081601,46.60470115995978,40.26701189322301,46.775873002551855,41.53460327027336,-1.804774031227308,-13.598819666248104,16.164251587846998,-11.205070896255753
34,ACCO,Acco Brands Corporation Common Stock,$8.93,0.16,1.824%,853645249.0,United States,,293072,Consumer Services,Advertising,ACCO,-18.79433050231285,12.417928266335291,11.682310744585743,8.860595230072262,7.8642857415335525,28.22603498704635,-5.923834523539577,-24.153744718879576,-11.244272677723778
35,ACEL,Accel Entertainment Inc. ,$11.70,0.01,0.086%,1092660906.0,United States,2017.0,201628,Consumer Services,Recreational Products/Toys,ACEL,,,,10.471291315208363,10.975396845075819,,,,4.814167753458463
36,ACER,Acer Therapeutics Inc. Common Stock (DE),$2.60,0.18,7.438%,37206634.0,United States,,247121,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),ACER,-86.97831637003503,10.618120867892566,21.793665316000403,12.085396827213346,3.63317460673196,-61.94352717586665,105.24973850976616,-44.54628603321476,-69.9374819157701
37,ACGL,Arch Capital Group Ltd. Common Stock,$40.58,0.59,1.475%,16100977366.0,Bermuda,,1050334,Finance,Property-Casualty Insurers,ACGL,62.69024121735611,31.63316061772198,28.40401059032911,36.445079364473855,40.30015881856283,27.70189205790552,-10.208116939107844,28.309624616470646,10.57777763504296
38,ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$26.47,-0.0214,-0.081%,0.0,Bermuda,,11159,Finance,Property-Casualty Insurers,ACGLO,,25.303565170453943,23.825685303524672,24.81778169056726,24.982999922737246,,-5.840599366032967,4.163978388885292,0.6657252216574221
39,ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,$25.37,-0.01,-0.039%,0.0,Bermuda,,17509,Finance,Property-Casualty Insurers,ACGLP,6.878223884604858,23.836135461510892,23.285474040118817,24.086932522909983,24.45466683402894,4.174955221805209,-2.310195888428481,3.4418817560266093,1.5266963145647243
40,ACH,Aluminum Corporation of China Limited American Depositary Shares,$14.92,0.52,3.611%,10159131217.0,China,2001.0,79401,Basic Industries,Aluminum,ACH,-20.861854182130035,15.271952169349944,12.322908374892762,8.65750001158033,6.95523806980678,73.76744916153915,-19.310195329027863,-29.744669454659718,-19.66228056016856
41,ACHC,Acadia Healthcare Company Inc. Common Stock,$62.52,0.28,0.45%,5618258455.0,United States,,218982,Health Care,Hospital/Nursing Management,ACHC,-44.86806482674234,42.07079687536475,37.88282862507489,30.631269871242466,28.447619120279953,-18.46613116503667,-9.954573151292482,-19.142073116030666,-7.128828677823081
42,ACHV,Achieve Life Sciences Inc. Common Shares,$7.24,-0.08,-1.093%,68418536.0,United States,,67500,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,ACHV,-99.38937598797743,38.22868519665236,7.341952203279472,2.144285712568533,0.4814285699810301,-51.5123227313915,-80.79465154108308,-70.79406603041173,-77.54830118210549
43,ACIU,AC Immune SA Common Stock,$7.23,0.1,1.403%,525278688.0,Switzerland,2016.0,77243,Health Care,Major Pharmaceuticals,ACIU,-44.79806024466056,10.458067724904216,10.370976108003898,5.866825393268041,7.8057142742096435,-26.04064096800716,-0.8327696778337326,-43.43034510762914,33.04834814355316
44,ACIW,ACI Worldwide Inc. Common Stock,$32.42,0.05,0.154%,3829923116.0,United States,,511072,Technology,EDP Services,ACIW,65.32617307887409,22.144023910461673,25.592669278027053,32.36027770572238,31.764603115263444,15.253658810065374,15.573706845286207,26.443542696446105,-1.8407585864246332
45,ACLS,Axcelis Technologies Inc. Common Stock,$45.56,1.91,4.376%,1530811307.0,United States,2000.0,433980,Technology,Industrial Machinery/Components,ACLS,100.43024332556853,22.64637445928566,21.62398401769509,18.790595232494294,23.144761902945383,96.11428116436716,-4.514587725415628,-13.102991487980244,23.17205291571336
46,ACM,AECOM Common Stock,$62.65,0.61,0.983%,9171516939.0,United States,2007.0,520127,Consumer Services,Military/Government/Technical,ACM,36.16208239383211,34.731792746312124,33.63322705576619,35.2119841121492,42.52952391003806,11.196947222177796,-3.162997368347975,4.694039777287256,20.781390149963435
47,ACMR,ACM Research Inc. Class A Common Stock,$88.16,-3.95,-4.288%,1673526645.0,United States,2017.0,348436,Technology,Industrial Machinery/Components,ACMR,,5.9357749938964846,10.850119537566288,14.86073412592449,32.26476193988134,,82.79196143255132,36.963782513844954,117.1141860589215
48,ACN,Accenture plc Class A Ordinary Shares (Ireland),$321.83,1.52,0.475%,204084192920.0,Ireland,2001.0,1392590,Technology,EDP Services,ACN,70.07045512203918,129.1477690009007,159.64796824664234,181.58103204151942,192.0263487800719,14.381281483067825,23.616512682870212,13.73839206083249,5.7524272337895495
49,ACNB,ACNB Corporation Common Stock,$28.78,0.5,1.768%,251000395.0,United States,,15780,Finance,Major Banks,ACNB,27.447712867561123,28.994223157723113,33.42227090782378,36.51369060031952,32.04460325695219,15.315749057426359,15.27217241176948,9.24958002112318,-12.239484067184966
50,ACOR,Acorda Therapeutics Inc. Common Stock,$3.65,-0.45,-10.976%,40604137.0,United States,2006.0,788087,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),ACOR,-93.86675803400698,21.525059757004694,23.596573677670907,7.878611117128343,1.6268253931923518,-18.84906617845052,9.623731334785708,-66.6112070983265,-79.35136829312994
51,ACP,Aberdeen Income Credit Strategies Fund Common Shares,$11.35,0.03,0.265%,197907010.0,United States,2011.0,127597,Finance,Investment Managers,ACP,-8.930148695281325,13.810294869411516,13.3049866953694,11.764345562647259,10.489841324942454,19.897094843665396,-3.6589238594848754,-11.579426330868401,-10.833617823599644
52,ACRE,Ares Commercial Real Estate Corporation Common Stock,$14.63,0.07,0.481%,687636641.0,United States,2012.0,267305,Consumer Services,Real Estate Investment Trusts,ACRE,16.568602462628412,13.323147401391747,13.507370519448084,15.108571412071347,14.033333256131124,10.669407234757092,1.3827297147301327,11.85427534039903,-7.116742719176853
53,ACRS,Aclaris Therapeutics Inc. Common Stock,$14.90,0.14,0.949%,881329174.0,United States,2015.0,426638,Health Care,Major Pharmaceuticals,ACRS,-93.66896877765913,26.7847012067696,16.75021915891731,3.748301582440497,1.3561269839604695,25.04343739691604,-37.463483241381695,-77.62237289626735,-63.82022753149167
54,ACRX,AcelRx Pharmaceuticals Inc. Common Stock,$1.24,0.04,3.333%,147687719.0,United States,2011.0,1121506,Consumer Durables,Specialty Chemicals,ACRX,-53.770860331409956,2.759362550845659,2.8860956264207087,2.598492064646312,1.5180952312454346,-15.971703135732046,4.592838861867201,-9.965143190043156,-41.57783847409722
55,ACST,Acasti Pharma Inc. Class A Common Stock,$0.4706,-0.0004,-0.085%,45597628.0,Canada,,2636139,Health Care,Major Pharmaceuticals,ACST,-51.09365031777972,1.3210358491456842,0.8274103574068897,1.4903174605634475,0.7311111116220079,-11.63170665299624,-37.3665477782471,80.11829888546644,-50.94259236917246
56,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$5.92,0.11,1.893%,291734362.0,United States,,120229,Miscellaneous,Multi-Sector Companies,ACTG,-52.61074534054404,4.612151395752137,3.579960166695584,2.9359126980342563,2.4371428678906155,-10.31858661185681,-22.3798210528652,-17.990352927747892,-16.988578389186866
57,ACU,Acme United Corporation. Common Stock,$40.36,0.29,0.724%,140595150.0,United States,1988.0,19166,Consumer Durables,Home Furnishings,ACU,21.31591654658776,25.720478057861328,20.740119531335107,19.721785681588308,22.886825440421934,36.3362244243307,-19.363397971539648,-4.909970977786577,16.04844414158916
58,ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$35.11,0.34,0.978%,363526131.0,United States,2015.0,21387,Finance,Finance/Investors Services,ACV,27.77519537140573,20.941167291892004,22.91395228412522,23.052706415691077,22.78657139672173,17.427132649352846,9.420606620133528,0.6055442982744738,-1.1544632294809098
59,ACY,AeroCentury Corp. Common Stock,$23.00,-4.18,-15.379%,35555332.0,United States,,432388,Technology,Diversified Commercial Services,ACY,-62.86782625715613,11.941195214412126,14.883904388701296,8.28293652572329,3.7160317500432334,19.32151424529897,24.643338639481765,-44.34970616976651,-55.136300531788294
60,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$3.49,-0.04,-1.133%,542685996.0,United Kingdom,2015.0,417213,Health Care,Major Pharmaceuticals,ADAP,-55.9580658992259,5.897928302506528,9.789541826780097,3.0107619114338404,3.3066666656070285,-21.444706739922463,65.98272011241129,-69.24511928436064,9.828234941110534
61,ADBE,Adobe Inc. Common Stock,$631.38,-0.7,-0.111%,300789432000.0,United States,1986.0,1127719,Technology,Computer Software: Prepackaged Software,ADBE,250.78315151374613,143.9961358180559,235.03744999251046,279.322818150596,341.3998408241877,47.953842644206674,63.22483145623322,18.841834847806908,22.224114408054948
62,ADC,Agree Realty Corporation Common Stock,$74.50,-0.88,-1.167%,5134712244.0,United States,,544479,Consumer Services,Real Estate Investment Trusts,ADC,64.10069269631015,48.32999996170105,52.64617535412549,68.83075402274964,70.99412712218269,11.713275354148053,8.930633966159279,30.742173690222092,3.143032689599792
63,ADES,Advanced Emissions Solutions Inc. Common Stock,$7.61,-0.1,-1.297%,143491169.0,United States,,72239,Energy,Coal Mining,ADES,32.83953876997573,10.088406376629713,10.59912353302853,12.186984164374216,9.650476205916632,38.86768086884085,5.0624165733640565,14.981055993900455,-20.813253912912
64,ADI,Analog Devices Inc. Common Stock,$171.13,1.2,0.706%,63117350477.0,United States,,3164228,Technology,Semiconductors,ADI,80.87185167098842,81.81948220302384,92.02099575939407,108.74730146498906,108.9217463902065,35.86672762118896,12.468318402524927,18.1766188982882,0.16041310714598545
65,ADIL,Adial Pharmaceuticals Inc Common Stock,$2.75,0.14,5.364%,51694929.0,United States,2018.0,468954,Health Care,Major Pharmaceuticals,ADIL,,,2.874444453804581,2.6107142837274644,1.7000000079472857,,,-9.174996223289225,-34.883720576266974
66,ADM,Archer-Daniels-Midland Company Common Stock,$60.29,1.49,2.534%,33724204959.0,United States,,3109975,Consumer Non-Durables,Farming/Seeds/Milling,ADM,0.4559224373400826,42.746055815799295,45.69191228251058,41.641349186972974,40.77952372838581,5.300260398703776,6.8915281433345035,-8.864945442627151,-2.069638653439152
67,ADMA,ADMA Biologics Inc Common Stock,$1.58,0.01,0.637%,202539612.0,United States,,663787,Health Care,Major Pharmaceuticals,ADMA,-44.58676867468686,3.7640159424557633,4.925258966081171,4.127361111224643,3.440238112495059,-39.37155530778183,30.851171763841585,-16.20011983839669,-16.647998084318477
68,ADMP,Adamis Pharmaceuticals Corporation Common Stock,$1.03,0.0,0.00%,153352725.0,United States,,2002492,Health Care,Major Pharmaceuticals,ADMP,-86.21189736868824,4.416055775258647,3.4230278953613036,1.539325392671994,0.6036507927236103,0.8679703378474547,-22.48676036794804,-55.030299497179044,-60.784718059137546
69,ADMS,Adamas Pharmaceuticals Inc. Common Stock,$5.27,-0.08,-1.495%,239300661.0,United States,2014.0,82380,Health Care,Major Pharmaceuticals,ADMS,-72.15556150437416,19.96916338172092,23.880278967291236,6.398412699737246,4.452380959949796,24.883774904495457,19.585775882581128,-73.2062899746643,-30.41428915436113
70,ADNT,Adient plc Ordinary Shares ,$38.60,1.53,4.127%,3636440573.0,,2016.0,1430659,Capital Goods,Auto Parts:O.E.M.,ADNT,-61.469848986722575,71.34167336087778,48.478326827881354,20.80488091423398,19.940952467539955,37.84724940341043,-32.04767347878638,-57.08416054023453,-4.152527718161345
71,ADP,Automatic Data Processing Inc. Common Stock,$213.00,-0.29,-0.136%,90248100000.0,United States,,1342900,Technology,EDP Services,ADP,80.38927383107112,106.18047797822382,131.5921121726473,159.77845234341092,160.63428569975358,19.238674571186028,23.93249180855548,21.41947545745256,0.5356375304619868
72,ADPT,Adaptive Biotechnologies Corporation Common Stock,$35.31,-2.38,-6.315%,4954386389.0,United States,2019.0,647952,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),ADPT,,,,34.911846102201025,27.88722219921293,,,,-20.12103250691524
73,ADS,Alliance Data Systems Corporation Common Stock,$94.22,2.0,2.169%,4684961172.0,United States,2001.0,593887,Miscellaneous,Business Services,ADS,-60.62971593095406,237.68557763574609,222.68892435628575,143.1300005231585,84.47539695860847,10.774841522434471,-6.309450252990412,-35.72648440559123,-40.979950639390715
74,ADSK,Autodesk Inc. Common Stock,$332.77,3.95,1.201%,73213830833.0,United States,,856872,Technology,Computer Software: Prepackaged Software,ADSK,196.19788177602607,102.46063767391372,132.0647014906682,158.8931750645713,182.82873026529944,65.99482915182861,28.893109089337248,20.314643709544786,15.063929077508314
75,ADT,ADT Inc. Common Stock,$9.28,0.08,0.87%,7699551949.0,United States,2018.0,2134941,Consumer Services,Diversified Commercial Services,ADT,,,8.801464425968824,6.7862301383699695,6.0184127149127775,,,-22.896579365280203,-11.314344014298616
76,ADTN,ADTRAN Inc. Common Stock,$23.53,1.83,8.433%,1138751033.0,United States,1994.0,579505,Capital Goods,Telecommunications Equipment,ADTN,-55.233176778711396,21.510159321515207,15.467928270894694,12.773095248237489,8.527777815621997,12.918220974755721,-28.090126903787574,-17.422068265780293,-33.23640315922084
77,ADUS,Addus HomeCare Corporation Common Stock,$91.40,1.98,2.214%,1453573868.0,United States,2009.0,116726,Health Care,Medical/Nursing Services,ADUS,272.5561605365395,34.7418327179563,56.669601516419675,75.76190494355701,86.1552382575141,50.232116690544565,63.11632715659822,33.69055528228032,13.71841603204166
78,ADVM,Adverum Biotechnologies Inc. Common Stock,$2.48,0.07,2.905%,242878247.0,United States,2014.0,2500020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),ADVM,171.28329372482358,2.9113545835730563,5.476812756868948,8.147757952175443,11.612539737943619,-31.987155397892213,88.11905591201977,48.76824010382007,42.52435830943017
79,ADX,Adams Diversified Equity Fund Inc.,$20.34,0.04,0.197%,2258291641.0,United States,,81414,Finance,Investment Managers,ADX,17.303208389007853,14.3825896593679,15.352948230576231,15.115634937135,14.833968223087373,13.733822711080597,6.746758366816786,-1.545718059340594,-1.8634130502560036
80,ADXN,Addex Therapeutics Ltd American Depositary Shares,$9.87,-0.06,-0.604%,71676305.0,Switzerland,,2434,Health Care,Major Pharmaceuticals,ADXN,324.050970977635,,,,10.426000107659236,,,,
81,ADXS,Advaxis Inc. Common Stock,$0.4311,-0.005,-1.147%,62784740.0,United States,,1603297,Health Care,Major Pharmaceuticals,ADXS,-99.35337537741094,97.30278879902752,22.48834670112427,2.4578371119522857,0.8690634918591332,-27.602091592370755,-76.88828143705884,-89.07061890935091,-64.64112745173635
82,AE,Adams Resources & Energy Inc. Common Stock,$26.01,-0.3925,-1.487%,110568900.0,United States,,5892,Energy,Oilfield Services/Equipment,AE,-16.23197396214265,40.201234992281854,42.884860566887724,34.81285721158225,31.062380805848136,8.41339305689896,6.675480430193503,-18.822501107857246,-10.773250764623619
83,AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),$26.1433,0.0333,0.128%,0.0,Netherlands,,10892,Finance,Life Insurance,AEB,-3.4001479466149376,24.608685330090772,23.92179284722681,23.02293649552361,23.0598413527958,3.0881056702006413,-2.7912603767745443,-3.7574790378113776,0.16029604772339234
84,AEE,Ameren Corporation Common Stock,$86.86,0.73,0.848%,22197300486.0,United States,,1396077,Public Utilities,Power Generation,AEE,61.44840934007343,57.08637447281188,60.65155381890406,74.09277760036406,79.12317457653228,16.48299506376026,6.245236939666147,22.161384062135273,6.789321630376411
85,AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.83,-0.085,-0.953%,448138200.0,United States,,19247,Finance,Finance/Investors Services,AEF,13.11446551408808,7.519641435478787,7.8002390386573826,7.171587274188088,6.8785714346265046,23.65652227582898,3.731529030821777,-8.059391018066831,-4.085787822958014
86,AEG,AEGON N.V. Common Stock,$4.39,0.08,1.856%,9273476283.0,Netherlands,,1469083,Finance,Life Insurance,AEG,-25.570382058493706,5.544262937340604,6.332390431863852,4.7046825488408395,3.5923809532135254,14.870159253120525,14.215189709261669,-25.704477646112533,-23.642436744246826
87,AEHR,Aehr Test Systems Common Stock,$5.85,0.18,3.175%,138046721.0,United States,1997.0,784758,Capital Goods,Electrical Products,AEHR,0.4788454615234585,3.6843824776045353,2.335338638123288,1.5778571419299594,1.9234920588750688,92.46375147754938,-36.61519529205749,-32.435616994803446,21.905336532706965
88,AEIS,Advanced Energy Industries Inc. Common Stock,$94.19,2.17,2.358%,3618359430.0,United States,1995.0,210825,Capital Goods,Industrial Machinery/Components,AEIS,58.88700156795692,72.02438251145806,58.62697200091237,54.67630954015822,63.184127262660425,81.11729437136673,-18.601215370939645,-6.738643197695179,15.560336449286954
89,AEL,American Equity Investment Life Holding Company Common Stock,$32.79,1.3,4.128%,3129094187.0,United States,2003.0,384615,Finance,Life Insurance,AEL,49.67806601272791,26.783705183234343,33.13661355706325,27.51452380134946,25.368412804982015,58.028538217979964,23.719303697404793,-16.966398047984637,-7.799920550550048
90,AEM,Agnico Eagle Mines Limited Common Stock,$60.53,-1.3,-2.103%,14751357480.0,Canada,,1269497,Basic Industries,Precious Metals,AEM,17.872205821232203,45.83601590646689,40.76446200366989,50.282936504908974,52.49031745062934,2.9293127448510505,-11.064560918963899,23.349932841949833,4.389920516087747
